признак,mean_human,mean_ai,r_pb,cliff_d,p,p_fdr,эффект
verbs_mood_dist_Ind,40.47135584686709,49.58092581569426,0.19599624853593664,0.25515,3.521552214067229e-40,8.307251376773977e-40,малый
verbs_verbform_dist_Fin,40.47135584686709,49.58092581569426,0.19599624853593664,0.25515,3.521552214067229e-40,8.307251376773977e-40,малый
upos_dist_VERB,9.332671828163408,10.597068335190645,0.19301246674448364,0.2542520833333333,7.665760512044628e-40,1.7631249177702643e-39,малый
verbal_root_perc,93.16292677496322,99.16084656084657,0.31175741313636995,0.2513675925925926,3.0762795412481044e-144,7.07544294487064e-143,малый
dep_dist_xcomp,0.8140425489916603,1.3727320049284,0.19480958732539658,0.25028425925925923,2.633775395994374e-40,6.5488469305806056e-40,малый
upos_dist_PROPN,2.8211630301587474,1.545874472806002,-0.1909033951013256,-0.23505833333333334,7.379728199505671e-39,1.6559390106207847e-38,малый
obj_post,73.85904064957374,89.31946649029983,0.19682431589903432,0.23160787037037037,8.463852148795648e-73,3.707973322329522e-72,малый
verbs_verbform_dist_Inf,7.913180090795183,12.27105194427176,0.16853586027644848,0.22934699074074075,2.3442820120931266e-34,5.135093931251611e-34,малый
dep_dist_parataxis,0.9549362889770104,0.5305246497190401,-0.1862241129451167,-0.2263439814814815,2.5416220919467396e-40,6.495256457197223e-40,малый
verb_edges_dist_4,5.4083662409574655,2.7153486310349058,-0.18096875646838362,-0.21671550925925925,1.1624726669473199e-46,3.5649161786384475e-46,малый
dep_dist_obl,3.98451716120735,3.2636740345861686,-0.1681812841890556,-0.21316064814814814,1.6375539215844612e-28,3.503603739203963e-28,малый
dep_dist_advmod,1.6679892255889774,1.0891946073386107,-0.17508721842607067,-0.20447939814814814,4.126605606583117e-28,8.628357177401063e-28,малый
dep_dist_nsubj,2.3917302156064904,2.9979368607745767,0.1451541897342256,0.1978025462962963,8.054963166763088e-25,1.6467924696493424e-24,малый
verbs_voice_dist_Pass,52.447823360380156,44.12790373362161,-0.15015334262019275,-0.1929511574074074,1.1044412368458702e-23,2.2088824736917404e-23,малый
char_per_tok,7.552177788463773,7.7820998672815485,0.16057418997014566,0.17689768518518517,3.895123109052441e-20,7.465652625683846e-20,малый
avg_token_per_clause,13.126597441047053,11.655500044091712,-0.17358161892027502,-0.16819537037037038,2.3561843201669837e-18,4.423856274599235e-18,малый
verb_edges_dist_5,1.6954848824329098,0.32243100263933594,-0.21459276472747313,-0.161475,8.5265104301075e-80,4.902743497311812e-79,малый
dep_dist_conj,5.472067240393018,6.057604481009445,0.09711506053613106,0.1512349537037037,3.9133346609274456e-15,6.545941614642273e-15,малый
dep_dist_csubj,0.13594440274062114,0.02517123459243065,-0.1974489200031054,-0.14868402777777778,2.398864864816478e-79,1.2982092209595057e-78,малый
upos_dist_ADV,1.4586856678103266,1.0844736491884472,-0.12282519871766162,-0.14801712962962962,1.8675185300748853e-15,3.1816982364238785e-15,малый
upos_dist_SYM,0.6605121049854688,0.09609582483061022,-0.16004549376467664,-0.14452870370370371,1.480909358238678e-76,7.170718997787283e-76,нет
dep_dist_compound,0.7595870146394725,0.5867947306196867,-0.06836747891355138,-0.14211018518518517,5.954173842504415e-18,1.07408626178511e-17,нет
verb_edges_dist_1,32.33519918739134,27.684482214313224,-0.10777394171765262,-0.13833055555555557,6.253101076827447e-13,9.750598289290257e-13,нет
upos_dist_PART,0.6785965063571929,0.5043098220062728,-0.08571588572545386,-0.1348148148148148,8.534805562994824e-16,1.4815134184821205e-15,нет
upos_dist_SCONJ,0.8858515645579492,0.6727246995274734,-0.09856062440317503,-0.13154930555555555,1.7451517267807692e-13,2.816736120418084e-13,нет
dep_dist_fixed,1.1110093123764573,0.8511712393651681,-0.10511275121041672,-0.12986990740740742,1.4600165603071603e-12,2.2386920591376457e-12,нет
upos_dist_DET,1.4013921980332804,1.7125375207801148,0.09252455008381,0.12762662037037037,2.2042385804853055e-11,3.2708056355588407e-11,нет
verb_edges_dist_0,12.036656490062194,9.381713712676689,-0.10655373931493455,-0.12734467592592594,6.013068638110277e-12,9.06889040501878e-12,нет
dep_dist_det,1.4823028992852774,1.786349914576961,0.08824452803254632,0.12122407407407407,2.1862709569338718e-10,3.1926496513954954e-10,нет
dep_dist_mark,0.8111994041066785,0.6367558126547129,-0.08345713476482344,-0.11132824074074074,3.0514859284706515e-10,4.3865110221765615e-10,нет
verbs_verbform_dist_Conv,0.9280011184528266,2.9109520991325684,0.15086569465077868,0.1106462962962963,4.519008570963403e-17,7.995169010166021e-17,нет
ttr_lemma_chunks_100,0.7276837918015102,0.7186746987951806,-0.06369866602335186,-0.10081750952028178,0.01998876452434061,0.023278054889105518,нет
lexical_density,0.7712794952138807,0.7834760005931168,0.10733865996151984,0.09143125,2.0290578826508013e-06,2.828383715210208e-06,нет
dep_dist_nmod,22.82061636706636,23.541262259620037,0.053726718892050274,0.08732476851851852,5.704062951658887e-06,7.71726164047967e-06,нет
ttr_form_chunks_100,0.7986481930960087,0.7935742971887552,-0.03821322035445811,-0.08722267711623191,0.044104683029156884,0.04888711853834257,нет
upos_dist_ADP,9.78656449081993,9.349281839768054,-0.07219768226012854,-0.08656412037037037,6.872869456076653e-06,9.163825941435537e-06,нет
n_prepositional_chains,0.6308888926711017,0.6708108465608467,0.04290395984800736,0.08121828703703704,2.247873898023852e-05,2.954348551688491e-05,нет
dep_dist_ccomp,0.33303856411945726,0.2963696363793095,-0.026815691238810335,-0.07369444444444445,5.153711909681313e-07,7.294484549087397e-07,нет
avg_subordinate_chain_len,1.0226340543566137,1.0896310333185333,0.09484925769943128,0.07019722222222222,7.359306381389386e-05,9.536002635039769e-05,нет
upos_dist_X,0.31188025965879135,0.12347123710342502,-0.050461526453793884,-0.07000416666666667,4.3574502988285296e-18,8.017708549844495e-18,нет
dep_dist_case,9.613048430697608,9.262210721326662,-0.05872766974689464,-0.06604675925925926,0.0006000929510945639,0.0007667854375097205,нет
verb_edges_dist_6,0.517566212179787,0.01747334455667789,-0.16751709277701377,-0.060775694444444445,1.7824486152669326e-45,5.289847503372832e-45,нет
dep_dist_nsubj:pass,3.008449590112963,3.081554376947187,0.015535932616296738,0.05355,0.005369631186013961,0.006675757690720059,нет
dep_dist_acl:relcl,0.3929294402592501,0.39504889160944745,0.0013542320388428837,-0.05217245370370371,0.0009621248092196535,0.0012125408554549057,нет
dep_dist_amod,14.795704727031255,15.110920163825861,0.03405185451749257,0.049680092592592595,0.00984566947648534,0.011918441997850675,нет
verbal_head_per_sent,2.2537646749681595,2.2503644179894184,-0.00209323028439291,0.04806041666666667,0.012280249006536634,0.014672505306511301,нет
avg_prepositional_chain_len,1.044676991899999,1.0552999338624338,0.012065432079225596,-0.04285902777777778,0.008387015899299195,0.01028807283647368,нет
subordinate_proposition_dist,37.83259359737139,39.43122539213548,0.04453408204678208,0.03904305555555555,0.042004025416844976,0.04712646754085046,нет
principal_proposition_dist,62.16740640262861,60.56877460786452,-0.044534082046782116,-0.03904305555555555,0.042004025416844976,0.04712646754085046,нет
verbs_tense_dist_Fut,0.3398764851394755,0.141589043672377,-0.05802055021266759,-0.03767476851851852,6.272548463442854e-15,1.0304901047084688e-14,нет
dep_dist_advcl,0.22588860567574792,0.36207908244833864,0.09027379690970955,0.03450138888888889,0.019607913084002268,0.023127282099079598,нет
upos_dist_ADJ,15.505488090308512,15.181469201726008,-0.03247380952830981,-0.033347916666666665,0.08316041883116704,0.0900089239113808,нет
dep_dist_cop,0.04651544517527035,0.03933842385096116,-0.014795169443155107,-0.03142731481481482,3.875116121079836e-06,5.321054972229029e-06,нет
verb_edges_dist_3,15.723110632469082,16.088845596769357,0.011462832927829753,0.029447685185185184,0.12268712293552789,0.13124668965196007,нет
dep_dist_flat,0.03795898582691623,0.0014738962125967778,-0.07853221401039984,-0.02748611111111111,4.212966126511983e-21,8.246657098704306e-21,нет
dep_dist_aux:pass,0.18799469462806503,0.29924287117265186,0.08003976789456141,0.024882175925925926,0.07091940306256249,0.07767363192566368,нет
dep_dist_aux,0.02051077239904715,0.0043725620161435205,-0.07919203431441439,-0.02463726851851852,5.680370917622966e-13,9.010243524505394e-13,нет
upos_dist_PRON,1.0093535052043436,1.0761225444388378,0.02470320671190178,0.020148842592592593,0.27752706358809376,0.2934768948287888,нет
avg_max_depth,6.81393557887244,6.705056216931217,-0.0401127693139514,0.014542824074074074,0.4494442373955513,0.46987352091353085,нет
upos_dist_AUX,0.25584600514146627,0.34236224108302915,0.05839885473285389,0.007381481481481481,0.6150657029504353,0.6287338296826671,нет
verbs_person_dist_1,0.19447455308812242,0.15810586018919354,-0.007466291794181132,-0.006892361111111111,0.02822544819144278,0.03245926542015919,нет
avg_verb_edges,1.773399227579558,1.7610881960531728,-0.013236175159955737,0.0029002314814814815,0.8801376108724702,0.8898094527501897,нет
dep_dist_acl,1.70781532817966,1.6801428938987828,-0.008795010099977206,0.0010393518518518519,0.9566960496885917,0.9566960496885917,нет
upos_dist_INTJ,0.0,0.00033875338753387534,0.008334201524546113,0.0002777777777777778,0.5640278562004822,0.5830400311285884,нет
