признак,mean_human,mean_ai,r_pb,cliff_d,p,p_fdr,эффект
verb_edges_dist_4,15.872337853977827,13.670309907484906,-0.12572875480292248,-0.14102977777777778,2.2095860656183194e-11,5.494105892888794e-11,нет
dep_dist_advmod,3.2621340386620306,2.866638281366626,-0.1304051540552264,-0.14045555555555556,2.714509988770652e-11,6.571971551760526e-11,нет
upos_dist_ADV,3.1947909934125867,2.8340578790505147,-0.124162644331016,-0.1363871111111111,9.909186564906032e-11,2.337551702490654e-10,нет
verb_edges_dist_0,9.605798785406476,11.375985514343537,0.10848350557729203,0.135164,1.246828038780389e-10,2.867704489194895e-10,нет
upos_dist_PART,1.4209422621312673,1.1832764721781286,-0.12159408187844142,-0.12755866666666665,1.4123636190485058e-09,3.1692061695722572e-09,нет
verbs_person_dist_3,38.31072317075721,35.88225971224263,-0.11556778692049917,-0.126808,1.7994458322528771e-09,3.94164325160154e-09,нет
verb_edges_dist_5,9.921780777602205,8.304545536349579,-0.1105509104166259,-0.1236368888888889,3.980426024800804e-09,8.516260332131952e-09,нет
upos_dist_ADJ,9.419811452912006,10.007932493390248,0.10705068209871416,0.11971466666666666,1.3659413011778092e-08,2.7925911046301878e-08,нет
dep_dist_nmod:poss,0.5542643396636665,0.6857966036735657,0.08860914458708496,0.11421111111111111,2.828346042795964e-08,5.656692085591928e-08,нет
dep_dist_cc,3.803209870923767,3.5043855776350346,-0.09065080132464154,-0.10492622222222223,6.482931094924264e-07,1.2425617931938174e-06,нет
upos_dist_CCONJ,3.41386636619159,3.156394082032661,-0.09085335854778501,-0.102144,1.2706158316533486e-06,2.3856460512675116e-06,нет
verb_edges_dist_2,20.274491200500723,22.08577032394063,0.08776506172535828,0.10098933333333333,1.6618497056048744e-06,2.9978465277578127e-06,нет
dep_dist_conj,5.439082511109074,4.984972167249024,-0.07677357125996712,-0.100204,2.011314601902467e-06,3.5584796802889804e-06,нет
avg_max_depth,5.560705757901904,5.663240802715801,0.054916125232916536,0.08808755555555556,2.9320065787717576e-05,5.089520853717013e-05,нет
verb_edges_dist_3,21.278170896424864,19.577396323830747,-0.08213313970981156,-0.08292133333333333,8.369284774219771e-05,0.00013999530895058527,нет
avg_token_per_clause,13.011057448964717,12.449058431199164,-0.07112985716405851,-0.082748,8.69434354328163e-05,0.00014283564392534106,нет
upos_dist_NOUN,24.85768762382018,25.480016325790896,0.06412573518937582,0.0764751111111111,0.00028683317827367806,0.00045497676553755826,нет
upos_dist_ADP,10.29872238666975,9.979854101803411,-0.06775503403586931,-0.07231422222222222,0.0006045200965834382,0.0009269308147612719,нет
verbs_person_dist_1,1.163189230033127,0.5945503587667111,-0.09360981830233056,-0.07213288888888889,6.762432469639026e-09,1.4139631527427054e-08,нет
max_links_len,32.59133333333333,30.67866666666667,-0.06791671251240917,-0.07004533333333333,0.000889355661790488,0.0013196890465278209,нет
dep_dist_ccomp,0.23966178786778142,0.19062712628831663,-0.06651097462700808,-0.06728266666666667,0.00015664244133800206,0.0002528263965455472,нет
dep_dist_mark,2.2245021697862435,2.070913027931092,-0.06264367135378449,-0.058834222222222225,0.005265294066133849,0.007452416216681755,нет
subordinate_pre,8.466071068946658,8.945565273294779,0.02289620609504519,0.05743111111111111,0.004278458269007417,0.0061502837616981615,нет
dep_dist_fixed,0.5572464082890412,0.4803394190015738,-0.06984928483988928,-0.056118666666666664,0.006348331943565562,0.008849189981939875,нет
dep_dist_nsubj,3.5650482265436683,3.4065107706472095,-0.0630127819448238,-0.05530888888888889,0.008713930524504188,0.011965397138125155,нет
dep_dist_root,3.2562014575081775,3.2938336299578257,0.02499776687380806,0.05340177777777778,0.011320769468162227,0.01509435929088297,нет
tokens_per_sent,33.05480617438989,31.651665394790392,-0.081703622875958,-0.05340177777777778,0.011320769468162227,0.01509435929088297,нет
dep_dist_csubj,0.12410236409058291,0.1593419593580664,0.059902861785967494,0.053399555555555554,0.000846078515833924,0.0012760528435528035,нет
upos_dist_SYM,0.24436121518561207,0.19850210871118182,-0.048640306084725,-0.05289822222222222,0.0015370771477072117,0.002244620596651801,нет
verbs_mood_dist_Imp,0.6127064616802286,0.2871344482214743,-0.08239892821804418,-0.05267288888888889,5.7665857846045696e-08,1.1287784940077029e-07,нет
subj_pre,97.46185495837409,97.90761934082897,0.039868985945188756,0.05204266666666667,0.0003788189326392547,0.0005907007085222276,нет
dep_dist_compound,6.615818573934181,6.832515363810659,0.03481352889660022,0.05044711111111111,0.01673409329133201,0.021993379754322067,нет
