задача,признаки,модель,accuracy,macro_F1,AUC
ru: human vs ai,Profiling-UD + LM и лексика,RF,0.9279166666666666,0.8967225580369724,0.9732775462962963
ru: human vs ai,Profiling-UD + LM и лексика,XGBoost,0.944375,0.9231864624051496,0.980584722222222
ru: human vs ai,только длина,LogReg,0.853125,0.7490678843300829,0.693431712962963
ru: human vs ai,только длина,SVM,0.8775,0.8058464007290665,0.8511199074074074
ru: human vs ai,только длина,RF,0.8766666666666667,0.8156164843638678,0.8387401620370372
ru: human vs ai,только длина,XGBoost,0.8702083333333334,0.802607594340124,0.837607638888889
ru: human vs ai,TF-IDF слов,LogReg,0.9529166666666666,0.9335778445863616,0.9928694444444445
ru: human / gpt / llama / gemma,Profiling-UD,LogReg,0.7870833333333334,0.7875809558870097,0.9423487847222223
ru: human / gpt / llama / gemma,Profiling-UD,SVM,0.8214583333333333,0.8215170925595316,0.9580118634259259
ru: human / gpt / llama / gemma,Profiling-UD,RF,0.7925,0.7936139849198538,0.9479469618055556
ru: human / gpt / llama / gemma,Profiling-UD,XGBoost,0.8160416666666667,0.8164242634565033,0.9596814814814816
ru: human / gpt / llama / gemma,"Profiling-UD, информативные",LogReg,0.70375,0.7040836877899209,0.8947277777777778
ru: human / gpt / llama / gemma,"Profiling-UD, информативные",SVM,0.7522916666666667,0.7528762364831372,0.9292671875
ru: human / gpt / llama / gemma,"Profiling-UD, информативные",RF,0.744375,0.7453225363629076,0.9273142939814815
ru: human / gpt / llama / gemma,"Profiling-UD, информативные",XGBoost,0.7602083333333334,0.7609320467020408,0.9348447337962964
ru: human / gpt / llama / gemma,LM и лексика,LogReg,0.5541666666666667,0.5527756808446396,0.7975999421296296
ru: human / gpt / llama / gemma,LM и лексика,SVM,0.605,0.6046651648180569,0.8457524305555556
ru: human / gpt / llama / gemma,LM и лексика,RF,0.5960416666666667,0.5937386491769346,0.8304485532407407
ru: human / gpt / llama / gemma,LM и лексика,XGBoost,0.5935416666666666,0.5910171086187369,0.8369603009259259
ru: human / gpt / llama / gemma,Profiling-UD + LM и лексика,LogReg,0.8154166666666667,0.8157308654954432,0.9549207175925927
ru: human / gpt / llama / gemma,Profiling-UD + LM и лексика,SVM,0.84125,0.8412607430961291,0.9655056712962964
ru: human / gpt / llama / gemma,Profiling-UD + LM и лексика,RF,0.8114583333333333,0.8129906300304314,0.9556567129629632
ru: human / gpt / llama / gemma,Profiling-UD + LM и лексика,XGBoost,0.8352083333333333,0.8357783106325416,0.9662070601851853
ru: human / gpt / llama / gemma,только длина,LogReg,0.5460416666666666,0.5424461920552763,0.7542064814814815
ru: human / gpt / llama / gemma,только длина,SVM,0.588125,0.5796766170815273,0.8210755208333335
ru: human / gpt / llama / gemma,только длина,RF,0.565,0.5605120142427084,0.7964020833333333
ru: human / gpt / llama / gemma,только длина,XGBoost,0.5714583333333333,0.5651119727791606,0.8028955439814814
ru: human / gpt / llama / gemma,TF-IDF слов,LogReg,0.9258333333333333,0.9255529203712412,0.9906635416666667
